종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
011420,갤럭시아에스엠,KOSPI,,1963,-23,-1.16,1986,1998,1962,81748,161594768,54079951172,27549644
039240,경남스틸,KOSDAQ,우량기업부,3000,-10,-0.33,3035,3090,2980,197524,592891275,80938812000,26979604
053950,경남제약,KOSDAQ,중견기업부,1047,0,0.0,0,0,0,0,0,37266291894,35593402
002100,경농,KOSPI,,10300,-100,-0.96,10360,10440,10210,83244,858782890,201082522500,19522575
009450,경동나비엔,KOSPI,,52500,-900,-1.69,53600,53700,51900,46804,2458294500,764851080000,14568592
267290,경동도시가스,KOSPI,,19530,-30,-0.15,19610,19640,19520,14929,291936600,115137279180,5895406
012320,경동인베스트,KOSPI,,82000,100,0.12,83200,83300,81500,14849,1221223500,193931886000,2365023
011040,경동제약,KOSDAQ,중견기업부,6770,10,0.15,6700,6840,6650,128594,866671460,208304545820,30768766
000050,경방,KOSPI,,7700,-130,-1.66,7830,7970,7700,2637,20383910,211097579000,27415270
214390,경보제약,KOSPI,,7440,0,0.0,0,0,0,0,0,177867038400,23906860
012610,경인양행,KOSPI,,3350,20,0.6,3350,3355,3320,42855,143007380,139414822750,41616365
009140,경인전자,KOSPI,,22550,0,0.0,22600,22600,22350,4619,103759150,35421472350,1570797
024910,경창산업,KOSDAQ,우량기업부,2530,45,1.81,2470,2575,2455,210244,532448910,90622082650,35819005
013580,계룡건설,KOSPI,,13510,-140,-1.03,13650,13790,13510,19712,267678180,120656553570,8930907
012200,계양전기,KOSPI,,1770,0,0.0,1800,1800,1766,41788,74187503,48184407330,27222829
012205,계양전기우,KOSPI,,4125,35,0.86,4115,4250,4115,640,2693405,4822450875,1169079
002140,고려산업,KOSPI,,3090,-40,-1.28,3130,3130,3075,53463,165241355,77062823250,24939425
198440,고려시멘트,KOSDAQ,중견기업부,2325,-55,-2.31,2350,2440,2275,1653688,3892428145,74353407000,31979960
049720,고려신용정보,KOSDAQ,우량기업부,10890,10,0.09,10800,10960,10800,51758,564433620,155727000000,14300000
010130,고려아연,KOSPI,,525000,15000,2.94,512000,528000,506000,72118,37534169000,10869223575000,20703283
002240,고려제강,KOSPI,,22100,-550,-2.43,22850,22850,22100,36968,823189100,552500000000,25000000
014570,고려제약,KOSDAQ,우량기업부,5540,40,0.73,5520,5550,5470,6749,37089720,60940000000,11000000
348150,고바이오랩,KOSDAQ,기술성장기업부,6470,-60,-0.92,6530,6600,6460,22804,148305050,125094240880,19334504
950190,고스트스튜디오,KOSDAQ,외국기업(소속부없음),10120,-30,-0.3,10190,10220,10060,8451,85630380,137428507040,13579892
098460,고영,KOSDAQ,우량기업부,12550,140,1.13,12500,12730,12360,587433,7362941850,861617175250,68654755
035290,골드앤에스,KOSDAQ,중견기업부,603,-1,-0.17,604,613,598,136494,82493825,28009690092,46450564
900280,골든센츄리,KOSDAQ,관리종목(소속부없음),97,0,0.0,0,0,0,0,0,19924215936,205404288
215000,골프존,KOSDAQ GLOBAL,우량기업부,77600,900,1.17,76700,77900,76300,19705,1519736000,486972204000,6275415
121440,골프존뉴딘홀딩스,KOSDAQ,우량기업부,3805,45,1.2,3740,3810,3720,75954,285357925,162994092490,42836818
366030,공구우먼,KOSDAQ,중견기업부,6070,-80,-1.3,6180,6270,6070,106410,651355080,137508869500,22653850
076340,관악산업,KONEX,일반기업부,5590,190,3.52,5310,5590,5310,111,592670,27231461400,4871460
009290,광동제약,KOSPI,,6490,40,0.62,6450,6530,6440,72765,472505720,340211322990,52420851
086220,광동헬스바이오,KONEX,일반기업부,2990,70,2.4,3000,3180,2760,106,312995,31615856350,10573865
014200,광림,KOSDAQ,관리종목(소속부없음),1006,0,0.0,0,0,0,0,0,91250936176,90706696
017040,광명전기,KOSPI,,2210,-30,-1.34,2215,2310,2205,926283,2085120375,95776129150,43337615
029480,광무,KOSDAQ,중견기업부,5030,315,6.68,4815,5220,4740,2795623,13962963925,243819858990,48473133
017900,광전자,KOSPI,,2170,-5,-0.23,2165,2180,2140,65073,140683930,125737965710,57943763
037710,광주신세계,KOSPI,,30200,0,0.0,30250,30400,30150,1656,50076550,240307138000,7957190
026910,광진실업,KOSDAQ,중견기업부,3030,5,0.17,3015,3050,3015,2427,7346225,19408377150,6405405
421800,교보12호스팩,KOSDAQ,SPAC(소속부없음),2665,0,0.0,0,0,0,0,0,15936700000,5980000
440790,교보13호스팩,KOSDAQ,SPAC(소속부없음),2340,-15,-0.64,2350,2355,2265,12239,28197040,9477000000,4050000
456490,교보14호스팩,KOSDAQ,SPAC(소속부없음),2280,0,0.0,2265,2290,2265,1127,2567210,9576000000,4200000
465320,교보15호스팩,KOSDAQ,SPAC(소속부없음),2175,5,0.23,2165,2180,2165,8832,19212160,8286750000,3810000
030610,교보증권,KOSPI,,4880,-30,-0.61,4910,4965,4880,46762,228884680,556139249680,113962961
339770,교촌에프앤비,KOSPI,,10200,-70,-0.68,10390,10390,10060,128281,1303387420,254821908000,24982540
053270,구영테크,KOSDAQ,우량기업부,2660,0,0.0,2670,2690,2650,30608,81624315,72911677300,27410405
007690,국도화학,KOSPI,,41400,200,0.49,41350,41550,40150,52547,2165945950,373039502400,9010616
005320,국동,KOSPI,,520,14,2.77,515,527,508,186687,97035428,35010506440,67327897
001140,국보,KOSPI,,2110,0,0.0,0,0,0,0,0,33456978680,15856388
066620,국보디자인,KOSDAQ,우량기업부,15860,20,0.13,15850,15950,15770,2881,45639870,118950000000,7500000
043650,국순당,KOSDAQ,우량기업부,6660,-110,-1.62,6760,6910,6650,291577,1964674870,118936304640,17858304
006050,국영지앤엠,KOSDAQ,중견기업부,1064,-7,-0.65,1064,1075,1058,37092,39472792,37128538552,34895243
060480,국일신동,KOSDAQ,중견기업부,2310,0,0.0,2290,2330,2285,46388,107074465,25617900000,11090000
078130,국일제지,KOSDAQ,관리종목(소속부없음),800,0,0.0,0,0,0,0,0,901924696800,1127405871
307750,국전약품,KOSDAQ,우량기업부,5090,-10,-0.2,5080,5200,5070,67305,346450670,249762579210,49069269
002720,국제약품,KOSPI,,6000,-200,-3.23,6080,6310,5850,4897200,29910297660,126958992000,21159832
243870,굿센,KONEX,일반기업부,12200,-290,-2.32,12490,12490,11700,849,10348790,35290098200,2892631
035080,그래디언트,KOSDAQ,우량기업부,14520,-150,-1.02,14540,14660,14400,21725,315259610,210940519680,14527584
453450,그리드위즈,KOSDAQ,벤처기업부,53600,2800,5.51,52500,54000,49650,1675736,87169932800,425731400000,7942750
204020,그리티,KOSDAQ,벤처기업부,3020,-20,-0.66,3040,3040,2995,41951,126288905,60845238600,20147430
402490,그린리소스,KOSDAQ,기술성장기업부,22950,50,0.22,23300,23750,22900,59550,1382853250,189703414800,8265944
114450,그린생명과학,KOSDAQ,중견기업부,1976,0,0.0,1976,2030,1965,5951,11801217,39520000000,20000000
083420,그린케미칼,KOSPI,,7780,-80,-1.02,7880,7970,7780,73114,573294580,186720000000,24000000
186230,그린플러스,KOSDAQ,벤처기업부,10900,-120,-1.09,11030,11190,10670,94959,1024662670,117940049200,10820188
014530,극동유화,KOSPI,,3960,-15,-0.38,3960,3975,3945,142236,562368755,138082903200,34869420
